epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,31962.3,0.99396,0.74539,1.28614,0.89194,0.89719,0.92808,0.70909,0.84379,0.47706,1.169,0.0091882,0.0091882,0.0091882
43,32716.4,0.99753,0.74264,1.28724,0.89681,0.89579,0.92942,0.7099,0.84255,0.47709,1.16732,0.0091684,0.0091684,0.0091684
44,33470.5,0.99619,0.75106,1.28868,0.91329,0.88051,0.92941,0.71112,0.84122,0.47339,1.16544,0.0091486,0.0091486,0.0091486
45,34221.8,0.99477,0.74298,1.28558,0.91818,0.87244,0.93008,0.7124,0.84024,0.47276,1.16482,0.0091288,0.0091288,0.0091288
46,34975.3,0.9975,0.74655,1.284,0.92015,0.87227,0.93038,0.71238,0.83891,0.47097,1.16483,0.009109,0.009109,0.009109
47,35727.4,0.9887,0.73557,1.2784,0.92511,0.86985,0.92946,0.71286,0.8347,0.47062,1.16351,0.0090892,0.0090892,0.0090892
48,36481,0.98931,0.73523,1.27958,0.93421,0.8642,0.92836,0.71184,0.8317,0.4692,1.16155,0.0090694,0.0090694,0.0090694
49,37233,0.984,0.7286,1.27558,0.9174,0.86991,0.92996,0.71396,0.82807,0.46551,1.15947,0.0090496,0.0090496,0.0090496
50,37990.1,0.98802,0.73402,1.27972,0.8764,0.91102,0.93049,0.71462,0.82708,0.46629,1.15867,0.0090298,0.0090298,0.0090298
51,38743,0.98322,0.72895,1.27473,0.88277,0.91063,0.92897,0.71381,0.82642,0.46511,1.15834,0.00901,0.00901,0.00901
52,39496.2,0.98832,0.73365,1.2787,0.87873,0.90727,0.92607,0.71365,0.82409,0.46348,1.15722,0.0089902,0.0089902,0.0089902
53,40248,0.9835,0.72704,1.27575,0.87889,0.91102,0.9258,0.71392,0.82473,0.46159,1.15842,0.0089704,0.0089704,0.0089704
54,41002.4,0.98434,0.7262,1.27479,0.90522,0.88356,0.92559,0.71307,0.82307,0.46145,1.15737,0.0089506,0.0089506,0.0089506
55,41757.4,0.98074,0.72085,1.27231,0.89969,0.88817,0.92712,0.71467,0.82158,0.46148,1.15597,0.0089308,0.0089308,0.0089308
56,42510.8,0.9788,0.72237,1.27083,0.896,0.89039,0.92672,0.7146,0.81949,0.4623,1.15542,0.008911,0.008911,0.008911
